               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.023133,           0.0085297,                   0,             0.85805,             0.56416,              0.6829,              0.3384,             0.04224,            0.027912,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.023449,           0.0084949,                   0,             0.83506,             0.51656,             0.64729,             0.33398,            0.041126,            0.029586,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.022954,           0.0086012,                   0,             0.71935,             0.65528,             0.71416,             0.34996,            0.037875,            0.020122,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,             0.02318,           0.0087515,                   0,             0.75901,             0.63467,             0.70401,             0.34581,            0.039382,            0.020491,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.023255,           0.0089073,                   0,             0.74169,             0.59858,             0.67301,              0.3382,            0.039005,            0.025056,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.023423,            0.008843,                   0,             0.78899,             0.59425,             0.67039,             0.31709,            0.039815,            0.025267,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.022385,           0.0085835,                   0,             0.76924,             0.60248,             0.68669,             0.32866,            0.039828,            0.023403,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,             0.02273,             0.00844,                   0,             0.78049,             0.61587,             0.70181,             0.35859,            0.039087,            0.023017,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.022621,           0.0088543,                   0,             0.80545,             0.60269,              0.6933,             0.35217,            0.039346,            0.023939,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.022534,           0.0084449,                   0,             0.82272,              0.5529,             0.69937,             0.36966,            0.039917,            0.030452,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.022456,           0.0086338,                   0,             0.75165,             0.51451,             0.64727,             0.31982,             0.04181,            0.026559,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.022536,           0.0088675,                   0,              0.7662,             0.49444,             0.66342,             0.33316,            0.040461,            0.029581,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.022123,            0.008349,                   0,             0.76319,             0.59076,             0.67701,             0.32891,            0.040082,            0.025426,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.022798,           0.0085924,                   0,             0.76897,             0.58204,             0.65954,             0.32447,              0.0403,            0.023238,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.022469,           0.0083057,                   0,             0.75601,             0.54422,             0.67423,             0.32494,            0.042315,            0.027708,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,             0.02217,           0.0085068,                   0,             0.78105,             0.52143,             0.69679,              0.3499,            0.040756,            0.028973,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.022377,            0.008357,                   0,             0.74045,             0.56667,              0.6509,             0.33159,            0.039203,            0.026442,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.022539,           0.0087504,                   0,              0.7575,             0.62346,             0.69271,             0.34273,            0.038803,            0.022287,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.022025,           0.0084554,                   0,             0.77245,             0.60062,             0.66693,             0.33936,            0.038692,            0.021543,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.022317,            0.008662,                   0,             0.78301,             0.58579,             0.68488,             0.34238,             0.03926,            0.024997,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.022081,           0.0085717,                   0,              0.8192,             0.60764,             0.73131,             0.37869,            0.039512,            0.027162,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.022075,           0.0085348,                   0,             0.84272,             0.54196,             0.68931,             0.35815,            0.040968,            0.030663,                   0,           0.0088516,           0.0088516,           0.0088516
