               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.02229,           0.0081554,                   0,             0.71884,             0.61682,             0.70535,             0.35337,            0.038275,            0.021554,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022313,           0.0086996,                   0,             0.80267,              0.6242,             0.72352,             0.35987,            0.037215,            0.023385,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.021943,           0.0085096,                   0,             0.85185,             0.65495,             0.77837,             0.38756,            0.037332,             0.02104,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022134,           0.0082564,                   0,             0.78241,             0.60679,             0.73615,             0.37493,            0.037061,            0.021316,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.022212,           0.0086668,                   0,             0.76904,             0.57895,             0.66535,             0.34856,            0.038023,            0.023654,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.022062,           0.0084785,                   0,             0.80476,             0.67823,             0.76743,             0.37809,            0.037911,            0.019277,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.021785,           0.0081685,                   0,             0.74061,             0.58621,             0.68069,             0.31947,            0.042254,            0.021651,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021843,           0.0083659,                   0,             0.74457,             0.61442,             0.71368,             0.35657,             0.03887,            0.022414,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.021647,           0.0084124,                   0,             0.81432,             0.64706,             0.76143,             0.38916,            0.037445,            0.021011,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021578,           0.0085439,                   0,             0.79884,              0.5851,             0.71047,             0.35436,            0.038364,              0.0233,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.021797,            0.008347,                   0,             0.82744,             0.62975,             0.73842,             0.36861,            0.039719,            0.023422,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.021825,           0.0082617,                   0,             0.77336,             0.58495,             0.69455,             0.35301,             0.03777,            0.026345,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.021609,           0.0082286,                   0,              0.7766,             0.58958,             0.71197,             0.36372,            0.040366,            0.025928,                   0,           0.0052975,           0.0052975,           0.0052975
